original	old	match_kind	name_usage	accepted_name_usage	parent_name_usage
Tiliqua nigrolutea	:tiliqua-nigrolutea	species match	https://id.biodiversity.org.au/instance/afd/70839287	https://id.biodiversity.org.au/instance/afd/70839287	https://id.biodiversity.org.au/instance/afd/70839284
Tiliqua rugosa	:tiliqua-rugosa	species match	https://id.biodiversity.org.au/instance/afd/70839289	https://id.biodiversity.org.au/instance/afd/70839289	https://id.biodiversity.org.au/instance/afd/70839284
Trapezites eliena	:trapezites-eliena	species match	https://id.biodiversity.org.au/instance/afd/70928125	https://id.biodiversity.org.au/instance/afd/70928125	https://id.biodiversity.org.au/instance/afd/70928122
Trapezites phigalia	:trapezites-phigalia	species match	https://id.biodiversity.org.au/instance/afd/70928137	https://id.biodiversity.org.au/instance/afd/70928137	https://id.biodiversity.org.au/instance/afd/70928122
Trichoglossus moluccanus	:trichoglossus-moluccanus	species match	https://id.biodiversity.org.au/instance/afd/72575509	https://id.biodiversity.org.au/instance/afd/72575509	https://id.biodiversity.org.au/instance/afd/70861916
Trichosurus vulpecula	:trichosurus-vulpecula	species match	https://id.biodiversity.org.au/instance/afd/70792345	https://id.biodiversity.org.au/instance/afd/70792345	https://id.biodiversity.org.au/instance/afd/70792343
Triptilodiscus pygmaeus	:triptilodiscus-pygmaeus	species match	https://id.biodiversity.org.au/instance/apni/740978	https://id.biodiversity.org.au/instance/apni/740978	https://id.biodiversity.org.au/instance/apni/740977
Tympanocryptis lineata	:tympanocryptis-lineata	species match	https://id.biodiversity.org.au/instance/afd/72576075	https://id.biodiversity.org.au/instance/afd/72576075	https://id.biodiversity.org.au/instance/afd/70903038
Uperoleia laevigata	:uperoleia-laevigata	species match	https://id.biodiversity.org.au/instance/afd/72599647	https://id.biodiversity.org.au/instance/afd/72599647	https://id.biodiversity.org.au/instance/afd/70822466
Utetheisa pulchelloides	:utetheisa-pulchelloides	species match	https://id.biodiversity.org.au/instance/afd/70857964	https://id.biodiversity.org.au/instance/afd/70857964	https://id.biodiversity.org.au/instance/afd/70857664
Vanessa kershawi	:vanessa-kershawi	species match	https://id.biodiversity.org.au/instance/afd/70929784	https://id.biodiversity.org.au/instance/afd/70929784	https://id.biodiversity.org.au/instance/afd/70929781
Varanus rosenbergi	:varanus-rosenbergi	species match	https://id.biodiversity.org.au/instance/afd/70805440	https://id.biodiversity.org.au/instance/afd/70805440	https://id.biodiversity.org.au/instance/afd/72346922
Veronica sp.	:veronica-sp	genus match	https://id.biodiversity.org.au/instance/apni/718451	https://id.biodiversity.org.au/instance/apni/718451	null
Viburnum tinus	:viburnum-tinus	species match	https://id.biodiversity.org.au/instance/apni/654154	https://id.biodiversity.org.au/instance/apni/654154	https://id.biodiversity.org.au/instance/apni/8308717
Vombatus ursinus	:vombatus-ursinus	species match	https://id.biodiversity.org.au/instance/afd/70792310	https://id.biodiversity.org.au/instance/afd/70792310	https://id.biodiversity.org.au/instance/afd/70792309
Wahlenbergia sp.	:wahlenbergia-sp	genus match	https://id.biodiversity.org.au/instance/apni/663169	https://id.biodiversity.org.au/instance/apni/663169	null
